epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
54,4.384169937430684e-07,1.0,22471,0,0,12967,12967,0,0,22471,0.00492812300939127,0.9994939271255061,2546,1,1,1389,1389,1,1,2546,2026-08-27 19:55:44,117.04,646.25
55,4.977840868839133e-07,1.0,22471,0,0,12967,12967,0,0,22471,0.0065243378605079816,0.9994939271255061,2546,1,1,1389,1389,1,1,2546,2026-08-27 19:57:41,117.18,647.12
56,1.2185887637360501e-05,1.0,22471,0,0,12967,12967,0,0,22471,0.0057618001064078765,0.9992408906882592,2546,2,1,1388,1388,1,2,2546,2026-08-27 19:59:38,117.1,646.25
57,4.538483170263248e-05,0.999971783295711,22471,1,0,12966,12966,0,1,22471,0.006535725358276884,0.9989878542510121,2546,3,1,1387,1387,1,3,2546,2026-08-27 20:01:35,117.07,647.12
58,6.030904524694657e-07,1.0,22471,0,0,12967,12967,0,0,22471,0.0056465704214221455,0.9992408906882592,2546,2,1,1388,1388,1,2,2546,2026-08-27 20:03:32,117.01,646.25
59,8.423108652091904e-07,1.0,22471,0,0,12967,12967,0,0,22471,0.007188039346294467,0.9989878542510121,2544,1,3,1389,1389,3,1,2544,2026-08-27 20:05:29,116.85,647.12
60,3.1040225092081405e-07,1.0,22471,0,0,12967,12967,0,0,22471,0.0074481086078065075,0.9992408906882592,2545,1,2,1389,1389,2,1,2545,2026-08-27 20:07:26,117.16,646.25
61,1.1245345641361991e-07,1.0,22471,0,0,12967,12967,0,0,22471,0.007256201237900044,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:09:23,116.95,647.12
62,7.85263338848612e-05,0.9999435665914221,22471,2,0,12965,12965,0,2,22471,0.01133057274206412,0.9984817813765182,2543,2,4,1388,1388,4,2,2543,2026-08-27 20:11:20,117.09,646.25
63,6.978838456087627e-06,1.0,22471,0,0,12967,12967,0,0,22471,0.011488839298098559,0.9984817813765182,2543,2,4,1388,1388,4,2,2543,2026-08-27 20:13:17,117.09,647.12
64,4.063873039305859e-07,1.0,22471,0,0,12967,12967,0,0,22471,0.00997276498138722,0.9987348178137652,2543,1,4,1389,1389,4,1,2543,2026-08-27 20:15:14,117.1,646.25
65,5.29064392697949e-07,1.0,22471,0,0,12967,12967,0,0,22471,0.008996035738325164,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 20:17:11,116.91,647.12
66,7.728388373786904e-08,1.0,22471,0,0,12967,12967,0,0,22471,0.008396846820200917,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 20:19:08,117.17,646.25
67,7.697620530895931e-08,1.0,22471,0,0,12967,12967,0,0,22471,0.008680309100282895,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 20:21:05,117.07,647.12
68,3.811883149696003e-08,1.0,22471,0,0,12967,12967,0,0,22471,0.00837027210786919,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 20:23:03,117.07,646.25
69,2.3558538078552768e-08,1.0,22471,0,0,12967,12967,0,0,22471,0.007405445579006479,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:25:00,117.12,647.12
70,1.4214329028389288e-08,1.0,22471,0,0,12967,12967,0,0,22471,0.007691543726647469,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 20:26:57,117.1,646.25
71,1.5580230147411776e-08,1.0,22471,0,0,12967,12967,0,0,22471,0.007669883693068364,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:28:54,117.15,647.12
72,3.091246320709715e-08,1.0,22471,0,0,12967,12967,0,0,22471,0.009978740937457162,0.9984817813765182,2545,4,2,1386,1386,2,4,2545,2026-08-27 20:30:51,117.27,646.25
73,4.362665385808445e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.009583372778494696,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 20:32:48,117.08,647.12
74,4.0195844100903756e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.009292842468006022,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 20:34:46,117.14,646.25
75,1.5708404379111618e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.00865204002070401,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:36:42,116.9,647.12
76,1.880282909657956e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.008835170244166055,0.9989878542510121,2546,3,1,1387,1387,1,3,2546,2026-08-27 20:38:39,116.96,646.25
77,5.1126523238747445e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.008237867472085393,0.9992408906882592,2545,1,2,1389,1389,2,1,2545,2026-08-27 20:40:36,116.85,647.12
78,1.365656355896244e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.008903449797667011,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:42:33,116.87,646.25
79,1.0091057793233713e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.008421266945604007,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:44:30,117.02,647.12
80,5.449167115026591e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.009074922147030132,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:46:27,117.01,646.25
81,6.424644968523518e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.008558865304952997,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:48:24,116.83,647.12
82,3.027322533112148e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.008776787280440141,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:50:21,116.87,646.25
83,5.079170807544314e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.008722632165036756,0.9992408906882592,2545,1,2,1389,1389,2,1,2545,2026-08-27 20:52:18,116.99,647.12
84,2.7582274603262163e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.008964078513422144,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:54:15,116.95,646.25
85,3.097882369390432e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.009405060441480824,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:56:12,116.96,647.12
86,2.9264112998925994e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.009687861030114132,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 20:58:09,116.9,646.25
87,4.638351472458987e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.009596653588389865,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 21:00:06,117.03,647.12
88,3.330054707028633e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.009923815046316687,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 21:02:03,117.05,646.25
89,1.2445662880012611e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.009352210062869647,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 21:04:00,116.96,647.12
90,3.128228355059564e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.010235837437584477,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 21:05:57,116.95,646.25
91,1.1436551450029967e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.009766582054270376,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 21:07:54,116.91,647.12
92,1.083101220048688e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.009864782644925442,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 21:09:51,116.87,646.25
93,2.085488948325572e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.010959733135674322,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 21:11:47,116.88,647.12
94,1.5136614991264955e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.010602764685738455,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 21:13:44,116.94,646.25
95,6.559148735564158e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.010258781650240039,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 21:15:41,117.05,647.12
96,2.653845540213532e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.01080360623978049,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 21:17:38,117.06,646.25
97,3.2627787464549446e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.01104904365432216,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 21:19:35,116.96,647.12
98,5.852812918038949e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.010646284652237088,0.9992408906882592,2545,1,2,1389,1389,2,1,2545,2026-08-27 21:21:32,116.96,646.25
99,1.782756890694298e-10,1.0,22471,0,0,12967,12967,0,0,22471,0.01045109300476847,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 21:23:29,117.04,647.12
100,7.537051151142162e-09,1.0,22471,0,0,12967,12967,0,0,22471,0.01608483412400943,0.9951923076923077,2544,1,3,1389,1389,3,1,2544,2026-08-27 21:25:26,116.96,646.25
