epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
23,0.12097512346277683,0.9584900820793434,14513,709,262,7905,7905,262,709,14513,0.1132877352996258,0.9600202429149798,2529,140,18,1250,1250,18,140,2529,2026-08-27 05:42:59,232.01,550.62
22,0.12802426808231182,0.9555831053351573,14554,818,221,7796,7796,221,818,14554,0.12954965672693272,0.9595141700404858,2474,87,73,1303,1303,73,87,2474,2026-08-27 05:43:46,231.78,550.62
23,0.13534770615363212,0.9528898768809849,14471,798,304,7816,7816,304,798,14471,0.11974926337485814,0.9595141700404858,2502,115,45,1275,1275,45,115,2502,2026-08-27 05:44:38,232.89,550.62
24,0.11800976400136204,0.9600718194254446,14521,680,254,7934,7934,254,680,14521,0.12560858888335258,0.957995951417004,2444,63,103,1327,1327,103,63,2444,2026-08-27 05:46:52,233.32,550.62
23,0.12035956279509707,0.9584900820793434,14535,731,240,7883,7883,240,731,14535,0.10553272097200785,0.9605263157894737,2516,125,31,1265,1265,31,125,2516,2026-08-27 05:47:40,234.39,550.62
24,0.13245155632167177,0.9537021203830369,14452,760,323,7854,7854,323,760,14452,0.1391509835403752,0.9534412955465587,2515,152,32,1238,1238,32,152,2515,2026-08-27 05:48:32,234.11,550.62
25,0.11609469502036766,0.9608840629274966,14515,655,260,7959,7959,260,655,14515,0.10138529658775686,0.9668522267206477,2514,98,33,1292,1292,33,98,2514,2026-08-27 05:50:46,234.31,550.62
24,0.12480823021692959,0.9561816005471956,14512,762,263,7852,7852,263,762,14512,0.13435464287309876,0.9501518218623481,2533,183,14,1207,1207,14,183,2533,2026-08-27 05:51:34,233.77,550.62
25,0.1332500430948971,0.95515560875513,14459,733,316,7881,7881,316,733,14459,0.12332640230530299,0.9567307692307693,2489,113,58,1277,1277,58,113,2489,2026-08-27 05:52:25,233.35,550.62
26,0.1350281524146103,0.9528043775649795,14502,831,273,7783,7783,273,831,14502,0.1360704902680176,0.9501518218623481,2529,179,18,1211,1211,18,179,2529,2026-08-27 05:54:40,233.47,550.62
25,0.14340899496771797,0.9490851573187414,14516,932,259,7682,7682,259,932,14516,0.13933161422222626,0.9501518218623481,2504,154,43,1236,1236,43,154,2504,2026-08-27 05:55:29,234.94,550.62
26,0.15600574426238314,0.9451521887824897,14486,994,289,7620,7620,289,994,14486,0.1691040185917365,0.9352226720647774,2541,250,6,1140,1140,6,250,2541,2026-08-27 05:56:20,234.13,550.62
27,0.13391195695709357,0.9526235136272756,14561,894,214,7720,7720,214,894,14561,0.1400793607644586,0.9483805668016194,2539,196,8,1194,1194,8,196,2539,2026-08-27 05:58:34,234.46,550.62
26,0.12861360474961023,0.9563427338735137,14540,786,235,7828,7828,235,786,14540,0.13720559214735742,0.9519230769230769,2533,176,14,1214,1214,14,176,2533,2026-08-27 05:59:23,233.89,550.62
27,0.1406144845301334,0.9497592865410923,14511,911,264,7703,7703,264,911,14511,0.16070739114996394,0.9461032388663968,2515,181,32,1209,1209,32,181,2515,2026-08-27 06:00:15,234.95,550.62
28,0.10270086304189398,0.9640902872777017,14519,584,256,8030,8030,256,584,14519,0.10767185654838075,0.9628036437246964,2490,90,57,1300,1300,57,90,2490,2026-08-27 06:02:29,234.76,550.62
27,0.1490774217463658,0.9498875355151005,14544,941,231,7673,7673,231,941,14544,0.15396181691950753,0.9468623481781376,2534,197,13,1193,1193,13,197,2534,2026-08-27 06:03:17,234.46,550.62
28,0.1306733393018604,0.9525380143112702,14417,752,358,7862,7862,358,752,14417,0.1244298847965323,0.9562246963562753,2474,100,73,1290,1290,73,100,2474,2026-08-27 06:04:09,234.29,550.62
29,0.09957440970459171,0.9648499158160581,14525,572,250,8042,8042,250,572,14525,0.09622457004171091,0.9681174089068826,2519,98,28,1292,1292,28,98,2519,2026-08-27 06:06:23,233.68,550.62
28,0.13755514014801506,0.9531036251709987,14546,868,229,7746,7746,229,868,14546,0.13382874111369675,0.9531882591093117,2487,125,60,1265,1265,60,125,2487,2026-08-27 06:07:10,233.43,550.62
29,0.12134477334742329,0.958223718825634,14488,690,287,7924,7924,287,690,14488,0.1477717942264127,0.9453441295546559,2535,204,12,1186,1186,12,204,2535,2026-08-27 06:08:03,234.33,550.62
30,0.09669248294770061,0.966645401452173,14522,527,253,8087,8087,253,527,14522,0.09600198903813419,0.9678643724696356,2523,103,24,1287,1287,24,103,2523,2026-08-27 06:10:17,234.43,550.62
29,0.14008020265817786,0.9522815163632536,14537,878,238,7736,7736,238,878,14537,0.14748677589293374,0.9481275303643725,2542,200,5,1190,1190,5,200,2542,2026-08-27 06:11:05,234.89,550.62
30,0.12581199513657193,0.9571977270335683,14486,712,289,7902,7902,289,712,14486,0.12086850079716167,0.9574898785425101,2504,125,43,1265,1265,43,125,2504,2026-08-27 06:11:58,234.5,550.62
31,0.09850305498655053,0.9665270177838577,14520,528,255,8086,8086,255,528,14520,0.09922869267595036,0.965334008097166,2511,101,36,1289,1289,36,101,2511,2026-08-27 06:14:12,234.38,550.62
30,0.13740491103454175,0.9533075081553194,14544,861,231,7753,7753,231,861,14544,0.14210103043712188,0.951163967611336,2485,131,62,1259,1259,62,131,2485,2026-08-27 06:14:58,232.76,550.62
31,0.11615486929741613,0.9613970588235294,14503,631,272,7983,7983,272,631,14503,0.11617773089761495,0.9610323886639676,2502,109,45,1281,1281,45,109,2502,2026-08-27 06:15:50,232.02,550.62
32,0.10063006912906579,0.9663987688098495,14531,542,244,8072,8072,244,542,14531,0.09018099309993448,0.9709008097165992,2518,86,29,1304,1304,29,86,2518,2026-08-27 06:18:03,231.33,550.62
31,0.13891563892030703,0.9535738714090287,14558,869,217,7745,7745,217,869,14558,0.1341351080268267,0.958755060728745,2485,101,62,1289,1289,62,101,2485,2026-08-27 06:18:50,232.19,550.62
32,0.1123154409055849,0.9619955540355677,14489,603,286,8011,8011,286,603,14489,0.12280780411238673,0.9531882591093117,2429,67,118,1323,1323,118,67,2429,2026-08-27 06:19:42,231.77,550.62
33,0.09720124020367012,0.9670827633378933,14555,550,220,8064,8064,220,550,14555,0.0935383263168487,0.9686234817813765,2516,93,31,1297,1297,31,93,2516,2026-08-27 06:21:56,232.93,550.62
32,0.13198022450232513,0.9561388508891929,14548,799,227,7815,7815,227,799,14548,0.15777789660341102,0.9415485829959515,2397,81,150,1309,1309,150,81,2397,2026-08-27 06:22:45,234.21,550.62
33,0.10549912879274707,0.9640475376196991,14508,574,267,8040,8040,267,574,14508,0.10334764236229875,0.9635627530364372,2504,101,43,1289,1289,43,101,2504,2026-08-27 06:23:37,234.89,550.62
34,0.10722189326420242,0.9629360465116279,14526,618,249,7996,7996,249,618,14526,0.10818813236143726,0.9615384615384616,2538,143,9,1247,1247,9,143,2538,2026-08-27 06:25:51,234.78,550.62
33,0.131747098080145,0.9563098495212038,14543,790,232,7824,7824,232,790,14543,0.1355296628199035,0.9504048582995951,2531,180,16,1210,1210,16,180,2531,2026-08-27 06:26:39,234.35,550.62
34,0.1079512960040208,0.9648597811217511,14520,567,255,8047,8047,255,567,14520,0.10090584820324955,0.9638157894736842,2520,101,27,1289,1289,27,101,2520,2026-08-27 06:27:30,233.92,550.62
35,0.1070994707321297,0.9647742818057455,14542,591,233,8023,8023,233,591,14542,0.19116880562955793,0.9213056680161943,2276,40,271,1350,1350,271,40,2276,2026-08-27 06:29:44,233.25,550.62
34,0.12231032401144953,0.959345075239398,14534,710,241,7904,7904,241,710,14534,0.11749623004754305,0.9531882591093117,2529,152,18,1238,1238,18,152,2529,2026-08-27 06:30:32,233.27,550.62
35,0.10409206065709833,0.9666881511101757,14541,545,234,8069,8069,234,545,14541,0.11036598394711611,0.9643218623481782,2476,70,71,1320,1320,71,70,2476,2026-08-27 06:31:24,233.5,550.62
36,0.13469182277256278,0.9528471272229823,14518,846,257,7768,7768,257,846,14518,0.15030463083613257,0.9476214574898786,2518,178,29,1212,1212,29,178,2518,2026-08-27 06:33:38,234.26,550.62
35,0.1136811525204503,0.9625085499316005,14544,646,231,7968,7968,231,646,14544,0.11228627388776555,0.9628036437246964,2473,73,74,1317,1317,74,73,2473,2026-08-27 06:34:27,234.36,550.62
36,0.10351647002012221,0.9659285225718194,14540,562,235,8052,8052,235,562,14540,0.10013102070779091,0.9655870445344129,2515,104,32,1286,1286,32,104,2515,2026-08-27 06:35:18,234.43,550.62
37,0.13196016847864353,0.9535640061033358,14524,835,251,7779,7779,251,835,14524,0.12016799319007619,0.957995951417004,2510,129,37,1261,1261,37,129,2510,2026-08-27 06:37:32,234.18,550.62
36,0.1182149129734335,0.9603710670314638,14533,685,242,7929,7929,242,685,14533,0.11634972524878226,0.9595141700404858,2491,104,56,1286,1286,56,104,2491,2026-08-27 06:38:21,234.02,550.62
37,0.10207507666287989,0.9665697674418605,14531,538,244,8076,8076,244,538,14531,0.09871683733703697,0.96584008097166,2494,82,53,1308,1308,53,82,2494,2026-08-27 06:39:13,234.4,550.62
38,0.12947033782742495,0.9534028727770177,14529,844,246,7770,7770,246,844,14529,0.1414017262698909,0.951163967611336,2501,147,46,1243,1243,46,147,2501,2026-08-27 06:41:27,234.99,550.62
37,0.11246799086392557,0.9628077975376197,14527,622,248,7992,7992,248,622,14527,0.09965008298530872,0.9643218623481782,2498,92,49,1298,1298,49,92,2498,2026-08-27 06:42:15,234.63,550.62
38,0.10125741567715899,0.9661422708618331,14535,552,240,8062,8062,240,552,14535,0.10224177608613362,0.9622975708502024,2491,93,56,1297,1297,56,93,2491,2026-08-27 06:43:07,234.19,550.62
39,0.12891815170927914,0.9531463748290013,14495,816,280,7798,7798,280,816,14495,0.13135625576969945,0.9504048582995951,2452,101,95,1289,1289,95,101,2452,2026-08-27 06:45:22,234.2,550.62
38,0.11442651011596948,0.961781805745554,14546,665,229,7949,7949,229,665,14546,0.11990784257574964,0.9562246963562753,2525,151,22,1239,1239,22,151,2525,2026-08-27 06:46:09,234.1,550.62
39,0.10999132742819907,0.9640902872777017,14535,600,240,8014,8014,240,600,14535,0.10689527423758256,0.965334008097166,2503,93,44,1297,1297,44,93,2503,2026-08-27 06:47:02,234.72,550.62
40,0.12599808390688014,0.9538205040513522,14477,782,298,7832,7832,298,782,14477,0.1412302720424557,0.9468623481781376,2422,85,125,1305,1305,125,85,2422,2026-08-27 06:49:16,234.62,550.62
39,0.1090316214654773,0.9625512995896033,14512,613,263,8001,8001,263,613,14512,0.11342260331624313,0.9592611336032388,2448,62,99,1328,1328,99,62,2448,2026-08-27 06:50:04,234.29,550.62
40,0.10722311969229215,0.9637811743659896,14501,573,274,8041,8041,274,573,14501,0.11941540963110714,0.9544534412955465,2462,95,85,1295,1295,85,95,2462,2026-08-27 06:50:56,234.41,550.62
41,0.12019904200596003,0.9560862359254972,14488,740,287,7874,7874,287,740,14488,0.1222811932637835,0.9531882591093117,2516,154,31,1236,1236,31,154,2516,2026-08-27 06:53:11,234.59,550.62
